instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,NIFTY 50,NIFTY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
13568258,53001,NIFTY25SEPFUT,NIFTY,0,2025-09-30,0.0,0.1,75,FUT,NFO-FUT,NFO
13355010,52168,NIFTY25OCTFUT,NIFTY,0,2025-10-28,0.0,0.1,75,FUT,NFO-FUT,NFO
9485826,37054,NIFTY25NOVFUT,NIFTY,0,2025-11-25,0.0,0.1,75,FUT,NFO-FUT,NFO
12227842,47765,NIFTY2592325400CE,NIFTY,0,2025-09-23,25400.0,0.05,75,CE,NFO-OPT,NFO
12228098,47766,NIFTY2592325400PE,NIFTY,0,2025-09-23,25400.0,0.05,75,PE,NFO-OPT,NFO
12229890,47773,NIFTY2592325450CE,NIFTY,0,2025-09-23,25450.0,0.05,75,CE,NFO-OPT,NFO
12230146,47774,NIFTY2592325450PE,NIFTY,0,2025-09-23,25450.0,0.05,75,PE,NFO-OPT,NFO
12227330,47763,NIFTY2592325350CE,NIFTY,0,2025-09-23,25350.0,0.05,75,CE,NFO-OPT,NFO
12227586,47764,NIFTY2592325350PE,NIFTY,0,2025-09-23,25350.0,0.05,75,PE,NFO-OPT,NFO
12230914,47777,NIFTY2592325500CE,NIFTY,0,2025-09-23,25500.0,0.05,75,CE,NFO-OPT,NFO
12231170,47778,NIFTY2592325500PE,NIFTY,0,2025-09-23,25500.0,0.05,75,PE,NFO-OPT,NFO
12226818,47761,NIFTY2592325300CE,NIFTY,0,2025-09-23,25300.0,0.05,75,CE,NFO-OPT,NFO
12227074,47762,NIFTY2592325300PE,NIFTY,0,2025-09-23,25300.0,0.05,75,PE,NFO-OPT,NFO
12231426,47779,NIFTY2592325550CE,NIFTY,0,2025-09-23,25550.0,0.05,75,CE,NFO-OPT,NFO
12231682,47780,NIFTY2592325550PE,NIFTY,0,2025-09-23,25550.0,0.05,75,PE,NFO-OPT,NFO
12226306,47759,NIFTY2592325250CE,NIFTY,0,2025-09-23,25250.0,0.05,75,CE,NFO-OPT,NFO
