instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
256265,1001,NIFTY 50,NIFTY 50,0,,0.0,0.0,0,EQ,INDICES,NSE
13568258,53001,NIFTY25SEPFUT,NIFTY,0,2025-09-30,0.0,0.1,75,FUT,NFO-FUT,NFO
13355010,52168,NIFTY25OCTFUT,NIFTY,0,2025-10-28,0.0,0.1,75,FUT,NFO-FUT,NFO
9485826,37054,NIFTY25NOVFUT,NIFTY,0,2025-11-25,0.0,0.1,75,FUT,NFO-FUT,NFO
15483138,60481,NIFTY25SEP25050CE,NIFTY,0,2025-09-30,25050.0,0.05,75,CE,NFO-OPT,NFO
15483394,60482,NIFTY25SEP25050PE,NIFTY,0,2025-09-30,25050.0,0.05,75,PE,NFO-OPT,NFO
15483650,60483,NIFTY25SEP25100CE,NIFTY,0,2025-09-30,25100.0,0.05,75,CE,NFO-OPT,NFO
15483906,60484,NIFTY25SEP25100PE,NIFTY,0,2025-09-30,25100.0,0.05,75,PE,NFO-OPT,NFO
16561666,64694,NIFTY25SEP25000CE,NIFTY,0,2025-09-30,25000.0,0.05,75,CE,NFO-OPT,NFO
16561922,64695,NIFTY25SEP25000PE,NIFTY,0,2025-09-30,25000.0,0.05,75,PE,NFO-OPT,NFO
15484162,60485,NIFTY25SEP25150CE,NIFTY,0,2025-09-30,25150.0,0.05,75,CE,NFO-OPT,NFO
15484418,60486,NIFTY25SEP25150PE,NIFTY,0,2025-09-30,25150.0,0.05,75,PE,NFO-OPT,NFO
15481346,60474,NIFTY25SEP24950CE,NIFTY,0,2025-09-30,24950.0,0.05,75,CE,NFO-OPT,NFO
15481602,60475,NIFTY25SEP24950PE,NIFTY,0,2025-09-30,24950.0,0.05,75,PE,NFO-OPT,NFO
15484674,60487,NIFTY25SEP25200CE,NIFTY,0,2025-09-30,25200.0,0.05,75,CE,NFO-OPT,NFO
15484930,60488,NIFTY25SEP25200PE,NIFTY,0,2025-09-30,25200.0,0.05,75,PE,NFO-OPT,NFO
15480066,60469,NIFTY25SEP24900CE,NIFTY,0,2025-09-30,24900.0,0.05,75,CE,NFO-OPT,NFO
